你的(餐點)在這裡. (你的東西準備好了)	Here you are.
謝謝你.	Thank you.
多謝!	Thanks.
我想要來些蛋糕和果汁.	I want some cake and juice.
我想要來些蛋糕和茶, 麻煩您.	I want some cake and tea, please.
你想要買什麼?	What do you want to buy?
你想要看什麼(風景,地方, 等不需專注看的)?	What do you want to see?
你想要看什麼(電影等需專注的看的)?	What do you want to watch?
你想要玩什麼?	What do you want to play?
好吃	yummy
菜單	menu
沒問題. 小事一椿!	No problem. It's a piece of cake.
Where are you?	你在哪裡?
What time is it?	現在幾點了?
It's ten thirty. Bob is late.	現在10:30了. Bob遲到了.
Where are you, Bob?	你在哪裡, Bob?
I'm at school.	我在學校
We're at the park.	我們在公園
Oh, no!.	噢, 不!
Wait for me.	等等我
I'm sorry.	抱歉
That's OK.	沒關係
Let's go.	我們走吧!
Where is she?	她在哪裡?
She's at home.	她在家
She is at the zoo.	她在動物園
lion	獅子
monkey	猴子
at	在....地點
home	家; 家庭
school	學校
park	公園
zoo	動物園
縮寫轉換:<br>I'm = ___ ____.	I am.
縮寫轉換:<br>He's = ___ ____.	He is.
縮寫轉換:<br>She's = ___ ____.	She is.
唸出<br>phone	
唸出<br>dolphin	
唸出<br>photo	
唸出<br>Joseph	
唸出<br>Phil	
唸出<br>elephant	
唸出<br>Phoebe	
唸出<br>talk	
唸出<br>teach	
唸出<br>phonics	
唸出<br>kid	
唸出<br>them	
聽聽看<br>hone<br>phone	
聽聽看<br>shone<br>phone	
聽聽看<br>Phil<br>pill	
take a photo	拍照
Time to go home	回家時間到了
Mom, I'm home.	媽媽, 我到家了
Let's to the the theme park.	我們去主題樂園吧
theme park	主題樂園
The car park is full	停車場滿了
parking lot	停車場(美式用法)
你在哪裡?	Where are you?
現在幾點了?	What time is it?
現在10:30了. Bob遲到了.	It's ten thirty. Bob is late.
你在哪裡, Bob?	Where are you, Bob?
我在學校	I'm at school.
我們在公園	We're at the park.
噢, 不!	Oh, no!.
等等我	Wait for me.
抱歉	I'm sorry.
沒關係	That's OK.
我們走吧!	Let's go.
她在哪裡?	Where is she?
她在家	She's at home.
她在動物園	She is at the zoo.
獅子	lion
猴子	monkey
在....地點	at
家; 家庭	home
學校	school
公園	park
動物園	zoo
拍照	take a photo
回家時間到了	Time to go home
媽媽, 我到家了	Mom, I'm home.
我們去主題樂園吧	Let's to the the theme park.
主題樂園	theme park
停車場滿了	The car park is full
停車場	parking lot <br>car park
What are you doing?	你在做什麼?
play	玩
read	閱讀
cook	做菜
sleep	睡覺
do	做
come	過來
help	幫忙
me	我
Mr.	先生 (對男性的稱呼)
mouse	老鼠
Miss	小姐 (對未婚女性的稱呼)
請唸出:<br> thick (厚的)	
請唸出:<br> teeth (牙齒)	
請唸出:<br> these (這些)	
請唸出:<br> weather (天氣)	
請唸出:<br> their (他們的)	
請唸出:<br> birthday (生日)	
請唸出:<br> couch (沙發)	
請唸出:<br> father (父親)	
請唸出:<br> thin (瘦的)	
May I come in, Dad?	爸爸, 我可以進去嗎?
Sure.	當然囉!
I'm home.	我到家了!
What are you doing, Betty?	你在做什麼, 貝蒂?
I'm playing.	我正在玩.
Bob, come and help me.	Bob, 來幫我一下
What's he doing, Betty?	他在做什麼? Betty?
He's reading.	他在讀書
No! He's sleeping.	不, 他正在睡覺.
What's she doing?	她在做什麼?
He's eating.	他正在吃東西.
爸爸, 我可以進去嗎?	May I come in, Dad?
當然囉!	Sure.
我到家了!	I'm home.
你在做什麼, 貝蒂?	What are you doing, Betty?
我正在玩.	I'm playing.
Bob, 來幫我一下	Bob, come and help me.
他在做什麼? Betty?	What's he doing, Betty?
他在讀書	He's reading.
不, 他正在睡覺.	No! He's sleeping.
她在做什麼?	What's she doing?
他正在吃東西.	He's eating.
你在做什麼?	What are you doing?
玩	play
閱讀	read
做菜	cook
睡覺	sleep
做	do
過來	come
幫忙	help
我	me
先生 (對男性的稱呼)	Mr.
老鼠	mouse
小姐 (對未婚女性的稱呼)	Miss
Can Grandpa dance?	阿公會跳舞嗎？
sing	唱歌
dance	跳舞
skate	溜冰
swim	游泳
ride a bike	騎腳踏車
ride	騎
bike	腳踏車
can	能(表能力)；可以
Really?	真的嗎？(表懷疑)
teach	教導
No problem.	沒問題
Superman	超人
all	所有事情
請念出: whale	
請念出: wheel	
請念出: white	
請念出: when, hen	
請念出: which, rich	
請念出: onto	
請念出: there	
請念出: whip, hip	
請念出: wheat, cheat	
請念出: A witch is on a ship.	
請念出: Three dolphins jump onto the ship.	
請念出: There is a white shark that wants to eat them.	
Try again.	再試一次
Good job.	做得很好
Wow, cool!	哇！酷！
Can you dance, Dad?	你會跳舞嗎，老爸？
No, I can't.	不，我不會。
What can you do?	你會做什麼？
I can sing.	我會唱歌。
I can dance.	我會跳舞。
Really? Can you teach me?	真的嗎？你可以教我嗎？
What can she do?	她會做什麼？
What can he do?	他會做什麼？
She can dance.	她會跳舞
He can ride a bike.	他會騎腳踏車
She can skate.	她會溜冰
She can sing.	她會唱歌
She can swim.	她會游泳
Yes, I can. I can skate.	是的，我會。我會溜冰。
No, I can't. I can't skate.	不，我不會。我不會溜冰。
Yes, he can. He can dance.	是的，他會。他會跳舞。
No, he can't. He can't dance.	不，他不會。他不會跳舞。
can't = ______  ______	can't = can not = cannot
What can you do, Bob?	你會做什麼？Bob?
What can Tina do?	Tina 會做什麼？
What can Allen do?	Allen 會做什麼？
I can dance and skate.	我會跳舞和溜冰。
I can swim and sing.	我會游泳和唱歌。
What can  Superman do?	超人會做什麼？
He can do them all.	他會做所有(動作)。
Japan	日本
Spain	西班牙
Ireland	愛爾蘭
Hawaii	夏威夷
阿公會跳舞嗎？	Can Grandpa dance?
唱歌	sing
跳舞	dance
溜冰	skate
游泳	swim
騎腳踏車	ride a bike
騎	ride
腳踏車	bike
能(表能力)；可以	can
真的嗎？(表懷疑)	Really?
教導	teach
沒問題	No problem.
超人	Superman
所有事情	all
再試一次	Try again.
做得很好	Good job.
哇！酷！	Wow, cool!
你會跳舞嗎，老爸？	Can you dance, Dad?
不，我不會。	No, I can't.
你會做什麼？	What can you do?
我會唱歌。	I can sing.
我會跳舞。	I can dance.
真的嗎？你可以教我嗎？	Really? Can you teach me?
她會做什麼？	What can she do?
他會做什麼？	What can he do?
她會跳舞	She can dance.
他會騎腳踏車	He can ride a bike.
她會溜冰	She can skate.
她會唱歌	She can sing.
她會游泳	She can swim.
是的，我會。我會溜冰。	Yes, I can. I can skate.
不，我不會。我不會溜冰。	No, I can't. I can't skate.
是的，他會。他會跳舞。	Yes, he can. He can dance.
不，他不會。他不會跳舞。	No, he can't. He can't dance.
你會做什麼？Bob?	What can you do, Bob?
Tina 會做什麼？	What can Tina do?
Allen 會做什麼？	What can Allen do?
我會跳舞和溜冰。	I can dance and skate.
我會游泳和唱歌。	I can swim and sing.
超人會做什麼？	What can  Superman do?
他會做所有(動作)。	He can do them all.
日本	Japan
西班牙	Spain
愛爾蘭	Ireland
夏威夷	Hawaii
It's a sunny day.	天氣晴
Billy is at the park.	比利在公園裡
What's wrong, Little Rabbit?	怎麼啦, 小兔子?
My cake ...	我的蛋糕...
How much is the cake?	蛋糕多少錢?
It's thirty-three dollars.	23元
Don't cry. This is for you.	別哭. 這給你
Thank you.	謝謝你!
I want some juice, please.	我想要來一些果汁, 麻煩你.
Here you are. It's twenty dollars.	(你的果汁)己經準備好了. 20元喔!
Be careful. Let me help you.	小心! 讓我來幫你.
May I help you?	我可以幫你忙嗎?
Yes, please. I want some pizza.	是的, 麻煩你. 我想要來些披薩.
What do you want to drink?	你想要喝什麼?
I want some milk, please.	我想要來點牛奶, 麻煩你.
We can help you.	我們可以幫你(們)
Here's your bag.	你的包包在這裡
It's thirty-eight.	28(元)
It's forty-five.	45(元)
It's thirty-three.	33(元)
How much is the juice?	果汁多少錢?
It's twelve.	12(元)
It's twenty.	20(元)
It's thirty.	30(元)
天氣晴	It's a sunny day.
比利在公園裡	Billy is at the park.
怎麼啦, 小兔子?	What's wrong, Little Rabbit?
我的蛋糕...	My cake ...
蛋糕多少錢?	How much is the cake?
23元	It's thirty-three dollars.
別哭. 這給你	Don't cry. This is for you.
謝謝你!	Thank you.
我想要來一些果汁, 麻煩你.	I want some juice, please.
(你的果汁)己經準備好了. 20元喔!	Here you are. It's twenty dollars.
小心! 讓我來幫你.	Be careful. Let me help you.
我可以幫你忙嗎?	May I help you?
是的, 麻煩你. 我想要來些披薩.	Yes, please. I want some pizza.
你想要喝什麼?	What do you want to drink?
我想要來點牛奶, 麻煩你.	I want some milk, please.
我們可以幫你(們)	We can help you.
你的包包在這裡	Here's your bag.
28(元)	It's thirty-eight.
45(元)	It's forty-five.
33(元)	It's thirty-three.
果汁多少錢?	How much is the juice?
12(元)	It's twelve.
20(元)	It's twenty.
30(元)	It's thirty.
