How much is the robot?	這隻機器人多少錢?
twenty	20
twenty-five	25
thirty	30
forty	40 (注意, 不是 fourty)
fifty	50
sixty	60
how much	多少錢?
dollar [ˋdɑlɚ]	元
cool [kul]	酷
Excuse me. [ɪkˋskjuz]	原諒我 / 抱歉 / 請問 / 不好意思
buy	買
buy one get one free	買一送一 <br>(買一個就得到一個免費的)
May I	我可以... 嗎?(表示請求)
have	有, 擁有
one	一個(人或物)
only	只;僅
Here you are.	這些是你要的東西(你要的在這裡了)
Thanks.	謝謝
ship [ʃɪp]	船
shell [}]	貝瞉
fish [fɪʃ] 	魚
brush [brʌʃ}]	刷
shop [ʃɑp]	商店
wish [wɪʃ]	願望
Josh [dʒɑʃ]	賈許(男子名)
sheep [ʃip]	羊, 綿羊
make a wish	許一個願望
want [wɑnt]	要, 想要
shirt [ʃɝt]	襯衫(複數 shirts)
shoe [ʃu]	鞋子(複數 shoes)
Don't touch, please.	請勿碰觸
Be careful.	小心
Look, Dad. It's cool!	看啊, 老爸, 好酷哦!
Excuse me. How much is the robot?	請問一下, 那隻機器人多少錢?
It's fifty dollars. And buy one get one free.	一隻50元. 而且買一送一.
May I have one?	我可以有一隻嗎? (可以買一隻給我嗎?)
Sorry. I only have twenty dollars.	抱歉, 我只有20元
I have twenty dollars.	我有 20 元
I have ten dollars.	我有 10 元
Here you are.	來, 這是你要的
23	twenty-three
34	thirty-four
42	forty-two
57	fifty-seven
68	sixty-eight
The pen is twenty-three dollars.	這支筆 23 元
The erasers are forty-two dollars.	這些橡皮擦 42 元
How much is the cap?	這頂帽子多少錢?
It's thirty dollars.	它 30 元
How much is the bag?	這個背包多少錢?
It's sixty-five dollars.	它 65 元
How much are the books?	這些書多少錢?
The're forty dollars.	他們 40 元.
How much is the wig?	那頂假髮多少錢?
yen	日元, 複數也是 yen
pound	英磅, 複數 pounds.
這隻機器人多少錢?	How much is the robot?
20	twenty
25	twenty-five
30	thirty
40	forty (注意, 不是 fourty)
50	fifty
60	sixty
多少錢?	how much
元	dollar [ˋdɑlɚ]
酷	cool [kul]
原諒我 / 抱歉 / 請問 / 不好意思	Excuse me. [ɪkˋskjuz]
買	buy
買一送一 <br>(買一個就得到一個免費的)	buy one get one free
我可以... 嗎?(表示請求)	May I
有, 擁有	have
一個(人或物)	one
只;僅	only
這些是你要的東西(你要的在這裡了)	Here you are.
謝謝	Thanks.
許一個願望	make a wish
要, 想要	want [wɑnt]
襯衫(複數 shirts)	shirt [ʃɝt]
鞋子(複數 shoes)	shoe [ʃu]
請勿碰觸	Don't touch, please.
小心	Be careful.
看啊, 老爸, 好酷哦!	Look, Dad. It's cool!
請問一下, 那隻機器人多少錢?	Excuse me. How much is the robot?
一隻50元. 而且買一送一.	It's fifty dollars. And buy one get one free.
我可以有一隻嗎? (可以買一隻給我嗎?)	May I have one?
抱歉, 我只有20元	Sorry. I only have twenty dollars.
我有 20 元	I have twenty dollars.
我有 10 元	I have ten dollars.
來, 這是你要的	Here you are.
twenty-three	23
thirty-four	34
forty-two	42
fifty-seven	57
sixty-eight	68
這支筆 23 元	The pen is twenty-three dollars.
這些橡皮擦 42 元	The erasers are forty-two dollars.
這頂帽子多少錢?	How much is the cap?
它 30 元	It's thirty dollars.
這個背包多少錢?	How much is the bag?
它 65 元	It's sixty-five dollars.
這些書多少錢?	How much are the books?
他們 40 元.	The're forty dollars.
那頂假髮多少錢?	How much is the wig?
日元, 複數也是 yen	yen
英磅, 複數 pounds.	pound
What do you want to eat?	你想要吃什麼?
I'm tired and hungry.	我又累又餓
The pizza is thirty-five dollars.	披薩35元
I want some pizza.	我想要來一些披薩
I want some pizza, please.	我想要來些披薩, 麻煩您.
I want some cake.	我想要來些蛋糕
I want some cake, please.	我想要來些蛋糕, 麻煩您.
What do you want to drink?	你想要喝什麼?
I want some milk.	我想要來點牛奶
I want some milk, please.	我想要來點牛奶, 麻煩您.
May I help you?	我可以幫你忙嗎?
Yes, please.	是的, 麻煩您了.
Here you are.	你的(餐點)在這裡. (你的東西準備好了)
Thank you.	謝謝你.
Thanks.	多謝!
I want some cake and juice.	我想要來些蛋糕和果汁.
I want some cake and tea, please.	我想要來些蛋糕和茶, 麻煩您.
What do you want to buy?	你想要買什麼?
What do you want to see?	你想要看什麼(風景,地方, 等不需專注看的)?
What do you want to watch?	你想要看什麼(電影等需專注的看的)?
What do you want to play?	你想要玩什麼?
yummy	好吃
menu	菜單
唸出 chips	
唸出 bcench	
唸出 chick	
唸出 witch	
唸出 check	
唸出 rich	
唸出 match	
唸出 Sherry	
唸出 shark	
唸出 lunch	
唸出 fish	
唸出 chicken	
唸出 cheese	
唸出 kick / chick	
唸出 shop / chop	
唸出 chair / hair	
唸出 wash / watch	
No problem. It's a piece of cake.	沒問題. 小事一椿!
你想要吃什麼?	What do you want to eat?
我又累又餓	I'm tired and hungry.
披薩35元	The pizza is thirty-five dollars.
我想要來一些披薩	I want some pizza.
我想要來些披薩, 麻煩您.	I want some pizza, please.
我想要來些蛋糕	I want some cake.
我想要來些蛋糕, 麻煩您.	I want some cake, please.
你想要喝什麼?	What do you want to drink?
我想要來點牛奶	I want some milk.
我想要來點牛奶, 麻煩您.	I want some milk, please.
我可以幫你忙嗎?	May I help you?
是的, 麻煩您了.	Yes, please.
